Incident ID,Stolen,Type,index
1398153, Unknown, Unknown,0.0
1398927, Unknown, Unknown,0.0
1395167, Unknown, Unknown,0.0
1394309, Unknown, Unknown,0.0
1393162, Unknown, Unknown,0.0
1395097, Unknown, Handgun,0.0
1386607, Unknown, Unknown,0.0
1385486, Unknown, Unknown,0.0
1385188, Unknown, Unknown,0.0
1384726, Unknown, Unknown,0.0
1377915, Unknown, Unknown,0.0
1376917, Unknown, Unknown,0.0
1376768, Unknown, Unknown,0.0
1373896, Unknown, Unknown,0.0
1370128, Unknown, 223 Rem [AR-15],0.0
1369988, Unknown, Unknown,0.0
1369148, Unknown, 223 Rem [AR-15],0.0
1367053, Unknown, Unknown,0.0
1366615, Unknown, Handgun,0.0
1365164, Unknown, Unknown,0.0
1363489, Unknown, Unknown,0.0
1362523, Unknown, Unknown,0.0
1359745, Unknown, Unknown,0.0
1354417, Unknown, Unknown,0.0
1353341, Unknown, Unknown,0.0
1354026, Unknown, Unknown,0.0
1351167, Unknown, Unknown,0.0
1351258, Unknown, Unknown,0.0
1348185, Unknown, Unknown,0.0
1348665, Unknown, Unknown,0.0
1340200, Unknown, Shotgun,0.0
1336802, Unknown, Unknown,0.0
1333774, Unknown, Unknown,0.0
1333259, Unknown, Unknown,0.0
1329640, Unknown, 308 Win,0.0
1326968, Unknown, Unknown,0.0
1326667, Unknown, Unknown,0.0
1324279, Unknown, Unknown,0.0
1323697, Unknown, Unknown,0.0
1323022, Unknown, Handgun,0.0
1318461, Unknown, 22 LR,0.0
1317385, Unknown, Unknown,0.0
1313540, Unknown, Unknown,0.0
1310267, Unknown, Unknown,0.0
1307368, Unknown, 410 gauge,0.0
1308241, Unknown, Unknown,0.0
1308718, Unknown, Unknown,0.0
1311385, Unknown, Unknown,0.0
1304947, Unknown, Unknown,0.0
1302992, Unknown, Unknown,0.0
1301688, Unknown, Unknown,0.0
1299668, Unknown, Unknown,0.0
1298558, Unknown, Unknown,0.0
1298774, Unknown, 22 LR,0.0
1298089, Unknown, Unknown,0.0
1297249, Unknown, Unknown,0.0
1294018, Unknown, Handgun,0.0
1288201, Unknown, 9mm,0.0
1289168, Unknown, Unknown,0.0
1287286, Unknown, Unknown,0.0
1285972, Unknown, Unknown,0.0
1280379, Not-stolen, Handgun,0.0
1277947, Unknown, Unknown,0.0
1278778, Unknown, 9mm,0.0
1277170, Unknown, 22 LR,0.0
1266173, Unknown, Unknown,0.0
1264155, Unknown, Unknown,0.0
1264802, Unknown, Unknown,0.0
1261231, Unknown, Unknown,0.0
1260953, Unknown, Unknown,0.0
1259542, Unknown, Handgun,0.0
1258320, Unknown, Unknown,0.0
1259582, Unknown, Other,0.0
1256740, Unknown, Unknown,0.0
1256271, Unknown, Handgun,0.0
1256230, Unknown, Unknown,0.0
1251637, Unknown, Handgun,0.0
1249551, Unknown, Rifle,0.0
1248818, Unknown, Unknown,0.0
1248514, Unknown, Unknown,0.0
1248423, Unknown, Unknown,0.0
1247546, Unknown, Handgun,0.0
1247542, Unknown, Handgun,0.0
1247308, Unknown, Unknown,0.0
1246968, Unknown, Unknown,0.0
1246006, Unknown, Unknown,0.0
1243438, Unknown, Unknown,0.0
1243703, Unknown, Unknown,0.0
1241474, Unknown, Unknown,0.0
1240844, Unknown, Unknown,0.0
1245249, Unknown, Unknown,0.0
1238496, Unknown, Unknown,0.0
1238134, Unknown, Unknown,0.0
1238638, Unknown, Unknown,0.0
1234694, Unknown, Unknown,0.0
1245001, Unknown, Unknown,0.0
1244777, Unknown, Unknown,0.0
1230196, Unknown, Unknown,0.0
1228092, Unknown, 22 LR,0.0
1228329, Unknown, Unknown,0.0
1227063, Unknown, 9mm,0.0
1226148, Unknown, Unknown,0.0
1226144, Unknown, Handgun,0.0
1222370, Unknown, Unknown,0.0
1221204, Unknown, Unknown,0.0
1219905, Unknown, 40 SW,0.0
1217275, Unknown, Unknown,0.0
1215761, Unknown, Unknown,0.0
1214654, Unknown, Unknown,0.0
1214964, Unknown, 9mm,0.0
1211994, Unknown, Handgun,0.0
1211659, Unknown, Handgun,0.0
1209783, Unknown, Unknown,0.0
1210032, Unknown, 223 Rem [AR-15],0.0
1208646, Unknown, Unknown,0.0
1204762, Unknown, Unknown,0.0
1203498, Unknown, Rifle,0.0
1203994, Unknown, 32 Auto,0.0
1200408, Unknown, Handgun,0.0
1198973, Unknown, Unknown,0.0
1200749, Unknown, Handgun,0.0
1197134, Unknown, Unknown,0.0
1197105, Unknown, Unknown,0.0
1195810, Unknown, Unknown,0.0
1194551, Unknown, Unknown,0.0
1192594, Unknown, Unknown,0.0
1189258, Unknown, Unknown,0.0
1189020, Unknown, 9mm,0.0
1187669, Unknown, Unknown,0.0
1185520, Unknown, Unknown,0.0
1185068, Unknown, Unknown,0.0
1182592, Unknown, Unknown,0.0
1182426, Unknown, Unknown,0.0
1180857, Unknown, Unknown,0.0
1182786, Unknown, Unknown,0.0
1175534, Unknown, Handgun,0.0
1175472, Unknown, Unknown,0.0
1173707, Unknown, Unknown,0.0
1173190, Unknown, 9mm,0.0
1171496, Unknown, 12 gauge,0.0
1171930, Unknown, Unknown,0.0
1167931, Unknown, Unknown,0.0
1165420, Unknown, 9mm,0.0
1165183, Unknown, 223 Rem [AR-15],0.0
1163406, Unknown, Unknown,0.0
1164073, Unknown, Unknown,0.0
1161925, Unknown, Unknown,0.0
1161078, Unknown, Unknown,0.0
1160253, Unknown, Unknown,0.0
1160697, Unknown, Unknown,0.0
1159278, Unknown, Unknown,0.0
1158586, Unknown, Unknown,0.0
1159025, Unknown, Unknown,0.0
1157086, Unknown, Unknown,0.0
1156772, Unknown, 40 SW,0.0
1157671, Unknown, Handgun,0.0
1154558, Unknown, Unknown,0.0
1155641, Unknown, Shotgun,0.0
1154041, Unknown, Handgun,0.0
1152899, Unknown, Unknown,0.0
1150235, Unknown, Unknown,0.0
1148883, Unknown, 40 SW,0.0
1145852, Unknown, Unknown,0.0
1471533, Unknown, Unknown,0.0
1142051, Unknown, Unknown,0.0
1139610, Unknown, Unknown,0.0
1138324, Unknown, Unknown,0.0
1135299, Unknown, Unknown,0.0
1134422, Unknown, Rifle,0.0
1133961, Unknown, Unknown,0.0
1133365, Unknown, 357 Mag,0.0
1132595, Unknown, Unknown,0.0
1129432, Unknown, Unknown,0.0
1130871, Unknown, Unknown,0.0
1129050, Unknown, Unknown,0.0
1128546, Unknown, Unknown,0.0
1126217, Unknown, Unknown,0.0
1122852, Unknown, Unknown,0.0
1122946, Unknown, 380 Auto,0.0
1121440, Unknown, Unknown,0.0
1116705, Unknown, Unknown,0.0
1117434, Unknown, Unknown,0.0
1115051, Unknown, Unknown,0.0
1113078, Unknown, Unknown,0.0
1110096, Unknown, Unknown,0.0
1109289, Unknown, Unknown,0.0
1108761, Unknown, Unknown,0.0
1109979, Unknown, Unknown,0.0
1109045, Unknown, Unknown,0.0
1108431, Unknown, Unknown,0.0
1107289, Unknown, Handgun,0.0
1098556, Stolen, 357 Mag,0.0
1098069, Unknown, Unknown,0.0
1096402, Unknown, Unknown,0.0
1089021, Unknown, Unknown,0.0
1082827, Unknown, Unknown,0.0
1081894, Unknown, Unknown,0.0
1081647, Unknown, Unknown,0.0
1080392, Unknown, Unknown,0.0
1080374, Unknown, Unknown,0.0
1081623, Unknown, Unknown,0.0
1074961, Unknown, Unknown,0.0
1075597, Unknown, Handgun,0.0
1069080, Unknown, Unknown,0.0
1068526, Unknown, Handgun,0.0
1068073, Unknown, 9mm,0.0
1068059, Unknown, 22 LR,0.0
1067443, Unknown, Unknown,0.0
1066875, Unknown, Unknown,0.0
1066577, Unknown, Unknown,0.0
1065208, Unknown, Unknown,0.0
1062802, Stolen, Unknown,0.0
1061451, Unknown, Unknown,0.0
1060419, Unknown, Unknown,0.0
1055120, Unknown, Unknown,0.0
1053616, Unknown, Handgun,0.0
1053272, Unknown, Unknown,0.0
1052294, Unknown, Unknown,0.0
1053085, Unknown, Unknown,0.0
1051659, Unknown, 7.62 [AK-47],0.0
1047484, Unknown, Unknown,0.0
1045450, Unknown, Unknown,0.0
1042224, Unknown, Unknown,0.0
1041668, Unknown, Unknown,0.0
1039068, Unknown, Unknown,0.0
1037937, Unknown, 9mm,0.0
1037226, Unknown, Unknown,0.0
1036936, Unknown, Unknown,0.0
1035257, Unknown, Unknown,0.0
1035148, Unknown, Shotgun,0.0
1031762, Unknown, Unknown,0.0
1031949, Unknown, Unknown,0.0
1030452, Unknown, Unknown,0.0
